Kassenkredite, Wertpapierschulden und Kredite der Gemeinden;;;;;;;;;;;;;;;;;;;;;;;;;;
und Gemeindeverbände;;;;;;;;;;;;;;;;;;;;;;;;;;
- Gemeinden/GV - Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;
Schulden der Gemeinden/GV und FEU;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeinden und Gemeindeverbände;;Stichtag;Stichtag;;;;;;;;;;;;;;;;;;;;;;;
;;30.06.2014;31.12.2014;;;;;;;;;;;;;;;;;;;;;;;
;;Bevölkerungsstand;Insgesamt;;;;;;Kernhaushalt;;;;;;Eigenbetriebe u. Krh o. e. Rechtspersönlichkeit 1);;;;;;s. Einr. der Gem./GV in öffentl.-rechtl. Form 2);;;;;
;;;brutto;brutto je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;netto (ohne Schulden beim Träger);netto (ohne Schulden beim Träger) je Einwohner;insgesamt;insgesamt je Einwohner;Kassenkredite;Kassenkredite je Einwohner;Investitionskredite (inkl. Wertpapierschulden);Investitionskredite (inkl. Wertpapiersch.)je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.
;;Anzahl;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR
05;Nordrhein-Westfalen;17591450;63681989;3620,06;2037299;115,81;61644690;3504,25;49452378;2811,16;26398681;1500,65;23053692;1310,51;10322779;586,81;1481691;84,23;-;-;3906832;222,09;555608;31,58;-;-
051;  Düsseldorf, Regierungsbezirk;5094443;20647714;4053;400936;78,71;20246778;3974,29;17101315;3356,86;11390487;2235,87;5710829;1120,99;2612918;512,9;294639;57,84;-;-;933481;183,24;106297;20,87;-;-
05111;    Düsseldorf, krfr. Stadt;601074;530865;883,19;-;-;530865;883,19;323364;537,97;288000;479,14;35364;58,83;207501;345,22;-;-;-;-;-;-;-;-;-;-
05112;    Duisburg, krfr. Stadt;485580;3248726;6690,4;55724;114,76;3193002;6575,64;2192855;4515,95;1777900;3661,39;414955;854,56;634547;1306,78;-;-;-;-;421324;867,67;55724;114,76;-;-
05113;    Essen, krfr. Stadt;570827;3317336;5811,46;-;-;3317336;5811,46;3279452;5745,09;2061251;3610,99;1218201;2134,1;37884;66,37;-;-;-;-;-;-;-;-;-;-
05114;    Krefeld, krfr. Stadt;222424;867778;3901,45;-;-;867778;3901,45;616845;2773,28;426550;1917,73;190295;855,55;250933;1128,17;-;-;-;-;-;-;-;-;-;-
05116;    Mönchengladbach, krfr. Stadt;255975;1340751;5237,82;-;-;1340751;5237,82;1340751;5237,82;1010000;3945,7;330751;1292,12;-;-;-;-;-;-;-;-;-;-;-;-
